ADMINISTRADORA;TIPO CARTAO;PARCELAMENTO;DATA DA VENDA;DATA RECEBIMENTO; VALOR ;BANDEIRA;PARCELAS;LANCAMENTO;CNPJ
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;59,96;MAESTRO             ;1/1;27745354;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;77,92;VISA                ;1/1;27745388;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;57,96;MAESTRO             ;1/1;27745455;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;49,96;MAESTRO             ;1/1;27745478;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;9,96;MAESTRO             ;1/1;27745491;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;24,96;MAESTRO             ;1/1;27745494;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;MAESTRO             ;1/1;27745512;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;59,96;MASTERCARD          ;1/1;27745519;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,92;MAESTRO             ;1/1;27745574;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;19,96;VISA ELECTRON;1/1;27745584;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;9,96;VISA ELECTRON;1/1;27745588;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;29,98;MASTERCARD          ;1/2;27745604;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;29,98;MASTERCARD          ;2/2;27745605;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;39,88;VISA                ;1/1;27745609;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;13,28;VISA                ;1/3;27752271;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;13,28;VISA                ;2/3;27752273;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;13,28;VISA                ;3/3;27752274;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,96;VISA                ;1/1;27745650;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;59,96;VISA                ;1/2;27745659;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;59,96;VISA                ;2/2;27745660;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;49,96;VISA ELECTRON;1/1;27745662;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;39,96;VISA                ;1/1;27745676;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;39,96;MASTERCARD          ;1/1;27745716;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;9,96;MASTERCARD          ;1/1;27745736;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;69,96;VISA                ;1/1;27745752;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;49,96;VISA                ;1/1;27745764;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;MAESTRO             ;1/1;27745765;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;69,88;MAESTRO             ;1/1;27745776;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;69,96;MAESTRO             ;1/1;27745785;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;19,92;VISA                ;1/1;27745789;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;129,90;VISA ELECTRON;1/1;27745794;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;10,00;VISA                ;1/1;27745797;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;14,98;VISA                ;1/2;27745804;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;14,98;VISA                ;2/2;27745805;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;9,96;MAESTRO             ;1/1;27745847;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;239,92;VISA ELECTRON;1/1;27745859;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;39,96;VISA ELECTRON;1/1;27745865;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;19,98;VISA                ;1/2;27745871;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;19,98;VISA                ;2/2;27745872;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;40,00;MASTERCARD          ;1/1;27745873;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;39,96;MASTERCARD          ;1/1;27745874;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;57,48;MASTERCARD          ;1/4;27745887;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;57,48;MASTERCARD          ;2/4;27745888;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;57,48;MASTERCARD          ;3/4;27745889;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;31/03/2017;57,48;MASTERCARD          ;4/4;27745890;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;59,96;MASTERCARD          ;1/1;27745909;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;39,96;MAESTRO             ;1/1;27745912;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;29,96;MAESTRO             ;1/1;27745919;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,96;VISA                ;1/1;27745954;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;24,98;VISA                ;1/4;27745955;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;24,98;VISA                ;2/4;27745956;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;01/03/2017;24,98;VISA                ;3/4;27745957;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;31/03/2017;24,98;VISA                ;4/4;27745958;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;39,92;MASTERCARD          ;1/1;27745963;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;19,98;MASTERCARD          ;1/2;27745967;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;19,98;MASTERCARD          ;2/2;27745969;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;19,96;VISA                ;1/1;27745971;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;99,96;MAESTRO             ;1/1;27746001;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;19,96;MASTERCARD          ;1/1;27746002;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;9,96;MAESTRO             ;1/1;27746014;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;229,92;VISA                ;1/1;27746022;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;39,96;VISA ELECTRON;1/1;27746046;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;39,96;VISA                ;1/1;27746050;1,71704E+13
CIELO;DEBITO ;AVISTA   ;01/12/2016;02/12/2016;169,92;MAESTRO             ;1/1;27746056;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;99,92;VISA                ;1/1;27746061;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;02/01/2017;39,98;MASTERCARD          ;1/2;27746090;1,71704E+13
CIELO;CREDITO;PARCELADO;01/12/2016;30/01/2017;39,98;MASTERCARD          ;2/2;27746091;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;29,92;VISA                ;1/1;27746111;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;139,92;VISA                ;1/1;27746115;1,71704E+13
CIELO;CREDITO;AVISTA   ;01/12/2016;02/01/2017;39,96;VISA                ;1/1;27746125;1,71704E+13
